,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,红球_7,红球_8,红球_9,红球_10,红球_11,红球_12,红球_13,红球_14,红球_15,红球_16,红球_17,红球_18,红球_19,红球_20
230,2023114,2,3,12,28,30,31,36,40,41,43,44,45,46,57,58,62,63,64,67,76
231,2023113,1,10,11,17,19,21,23,24,25,27,37,42,46,49,50,53,55,62,65,77
232,2023112,2,3,10,14,19,20,22,23,33,34,38,42,48,51,52,55,66,67,71,73
233,2023111,1,3,6,10,14,15,16,23,28,32,33,37,43,45,50,54,60,69,74,77
234,2023110,2,4,10,13,17,25,31,32,39,42,43,48,53,64,65,67,71,73,75,80
235,2023109,2,5,6,13,16,17,18,24,25,28,40,47,50,54,56,60,63,64,72,76
236,2023108,3,4,6,8,9,16,17,26,27,32,50,52,53,54,56,59,60,69,73,74
237,2023107,9,12,18,19,22,23,24,31,35,36,39,45,53,56,64,65,74,75,78,80
238,2023106,2,3,5,8,9,12,15,18,22,23,48,49,54,56,57,62,64,66,70,78
239,2023105,11,14,17,20,24,27,39,42,43,44,46,47,53,57,59,64,67,70,79,80
240,2023104,1,5,7,8,11,33,35,38,39,44,47,49,52,56,62,69,71,73,78,79
241,2023103,4,10,11,12,13,21,22,26,32,33,35,38,41,45,47,49,55,62,78,79
242,2023102,6,8,11,13,18,22,27,30,34,42,46,48,56,59,64,66,70,73,76,78
243,2023101,1,5,11,13,16,23,26,29,33,40,41,42,51,52,53,65,68,76,77,79
244,2023100,1,4,5,8,12,17,18,21,25,28,29,31,37,41,48,63,72,74,78,79
245,2023099,1,2,10,12,13,15,23,27,28,37,38,39,45,47,51,54,62,70,72,79
246,2023098,2,6,7,11,13,24,25,32,34,36,39,40,47,52,56,67,69,73,75,78
247,2023097,6,9,12,14,17,21,27,34,44,45,47,51,52,53,61,62,63,64,77,80
248,2023096,1,2,3,7,13,15,20,24,32,34,44,49,52,59,66,67,69,76,78,80
249,2023095,1,2,14,18,26,29,34,39,42,46,50,51,52,53,58,64,67,70,71,73
250,2023094,1,3,4,9,10,11,15,34,35,37,42,51,55,59,60,64,65,67,69,76
251,2023093,1,2,5,13,14,19,21,24,26,27,28,30,31,35,49,50,62,67,72,74
252,2023092,1,4,6,10,11,13,14,24,25,27,33,40,43,52,57,58,64,70,71,73
253,2023091,1,5,13,15,18,22,28,31,35,38,44,50,51,54,61,63,65,72,74,77
254,2023090,1,8,13,15,18,20,27,28,31,34,35,41,45,55,58,63,64,74,75,79
255,2023089,4,13,18,19,21,24,32,33,36,43,46,49,51,54,63,65,68,71,72,80
256,2023088,7,9,11,13,15,18,22,30,33,44,45,60,62,64,65,67,69,72,74,75
257,2023087,15,17,18,25,28,31,33,36,46,47,49,51,55,58,60,61,62,68,74,79
258,2023086,5,9,12,19,21,22,28,34,41,45,46,49,50,56,64,65,68,69,70,75
259,2023085,6,10,11,15,26,28,30,34,36,38,50,53,57,59,61,65,70,71,73,79
260,2023084,6,10,12,14,18,20,24,26,34,39,50,51,54,56,63,64,68,71,76,78
261,2023083,3,4,7,9,10,12,16,19,20,27,28,29,30,33,51,54,56,59,61,73
262,2023082,1,7,10,15,24,26,27,28,29,33,35,37,48,51,52,56,63,64,66,70
263,2023081,2,21,28,30,36,38,39,40,43,44,47,50,51,54,55,62,67,68,70,74
264,2023080,4,16,21,28,30,32,33,34,37,38,44,46,54,56,63,66,69,72,73,74
265,2023079,4,8,11,16,21,24,29,31,35,45,48,51,53,57,59,63,66,70,75,77
266,2023078,1,5,6,15,16,18,20,23,25,26,27,34,38,48,60,63,65,73,74,76
267,2023077,5,13,28,34,37,39,40,41,42,45,46,56,58,62,68,72,74,77,78,79
268,2023076,2,13,14,20,25,26,27,34,35,44,49,54,55,56,57,58,74,75,77,78
269,2023075,4,5,6,17,20,23,24,25,34,39,44,45,55,59,61,63,70,74,77,80
270,2023074,5,8,17,19,22,24,27,35,50,51,52,55,57,59,63,67,74,75,78,80
271,2023073,2,15,16,18,20,23,24,27,29,39,40,43,47,48,52,57,69,70,72,76
272,2023072,2,5,6,10,14,21,25,27,36,38,46,49,50,57,64,67,74,75,76,79
273,2023071,5,6,7,14,17,18,21,24,26,27,29,30,37,43,47,48,56,58,61,65
274,2023070,1,2,12,16,17,18,23,27,34,35,39,47,49,56,57,58,59,63,72,79
275,2023069,1,6,9,10,22,23,28,29,40,41,44,48,49,53,59,60,62,65,77,78
276,2023068,1,7,11,14,18,19,21,30,35,36,44,51,55,56,57,65,67,68,73,75
277,2023067,2,8,9,12,13,15,19,26,32,39,41,44,47,53,56,71,72,74,78,80
