,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,红球_7,红球_8,红球_9,红球_10,红球_11,红球_12,红球_13,红球_14,红球_15,红球_16,红球_17,红球_18,红球_19,红球_20
701,2021345,5,6,7,10,11,20,22,24,31,35,38,40,50,52,60,63,66,72,74,75
702,2021344,6,9,14,16,19,25,28,36,38,41,42,44,48,49,50,58,61,65,72,77
703,2021343,13,15,21,25,30,32,35,43,45,46,48,54,55,60,62,63,66,67,77,78
704,2021342,1,3,6,8,22,27,33,37,40,42,45,48,57,58,62,63,64,65,70,73
705,2021341,2,3,8,14,16,28,32,34,38,39,44,46,48,54,57,67,71,73,74,80
706,2021340,1,2,3,4,7,9,12,14,15,16,18,20,28,31,44,53,55,57,65,67
707,2021339,1,4,8,16,19,23,27,29,30,39,44,46,49,62,64,65,67,70,75,77
708,2021338,8,9,16,23,25,31,32,37,38,44,48,52,56,58,60,65,68,69,70,77
709,2021337,4,13,16,19,21,24,25,27,31,33,36,37,45,53,56,60,62,65,71,79
710,2021336,1,2,3,14,21,23,24,26,28,29,40,41,49,51,52,56,58,60,66,73
711,2021335,4,9,13,15,16,18,20,29,35,41,43,44,47,52,54,59,61,65,71,72
712,2021334,6,7,11,12,14,15,17,22,25,28,31,32,36,42,47,48,57,62,73,74
713,2021333,2,3,4,9,18,20,23,28,42,46,47,50,51,52,56,59,62,63,70,72
714,2021332,1,4,5,7,9,11,15,23,26,39,42,58,59,62,64,66,68,69,73,74
715,2021331,4,5,10,12,13,18,21,23,27,38,41,48,49,55,56,57,59,69,70,71
716,2021330,4,5,8,21,22,31,34,38,41,45,55,58,61,62,64,65,69,71,74,78
717,2021329,5,12,15,17,25,26,29,30,38,42,49,53,56,58,59,62,64,71,74,77
718,2021328,10,11,12,16,22,26,27,28,29,32,40,50,52,54,62,64,69,70,75,78
719,2021327,2,3,6,7,12,13,19,23,26,28,30,35,37,43,44,47,54,70,73,74
720,2021326,1,9,10,34,37,40,41,43,48,52,53,54,57,59,63,68,69,71,75,77
721,2021325,1,2,10,16,27,32,42,43,44,47,52,55,56,58,60,64,65,66,68,77
722,2021324,3,10,17,22,23,29,30,35,54,56,57,59,60,61,65,66,70,71,72,73
723,2021323,2,7,8,13,26,27,28,34,42,52,53,54,55,56,59,60,62,66,67,72
724,2021322,1,2,9,13,15,21,23,37,43,45,50,53,54,58,65,66,68,73,74,75
725,2021321,8,12,24,27,30,33,34,35,37,40,43,44,56,57,60,67,69,72,73,79
726,2021320,8,10,15,22,25,26,29,32,34,39,45,46,50,52,55,56,62,63,66,69
727,2021319,3,4,12,16,17,20,23,34,40,45,48,49,51,56,64,73,75,77,78,80
728,2021318,1,9,13,20,21,25,30,37,42,44,49,53,54,55,56,57,66,67,70,77
729,2021317,11,12,13,14,16,17,21,23,25,27,39,43,51,53,56,61,62,63,66,73
730,2021316,6,7,9,14,16,20,27,33,38,44,51,63,64,65,69,73,76,78,79,80
731,2021315,5,14,15,28,29,31,35,39,48,57,59,60,61,63,64,67,72,75,78,80
732,2021314,1,16,22,23,25,29,32,41,43,44,50,51,54,63,65,66,71,72,73,75
733,2021313,1,2,6,12,13,15,16,19,25,29,45,49,50,53,55,60,64,68,69,79
