,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
443,20124,16,18,19,20,29,33,12
444,20123,01,03,18,19,26,29,03
445,20122,12,15,17,24,26,31,15
446,20121,02,04,06,21,25,29,03
447,20120,01,02,03,04,09,10,12
448,20119,01,09,22,28,32,33,15
449,20118,11,13,19,26,30,33,05
450,20117,07,08,09,10,16,27,07
451,20116,05,06,14,16,19,27,10
452,20115,01,04,12,20,25,32,02
453,20114,01,05,11,24,30,32,03
454,20113,01,03,07,10,22,32,11
455,20112,02,09,12,17,28,32,05
456,20111,06,09,17,22,24,26,16
457,20110,02,06,09,14,22,25,04
458,20109,06,13,16,20,23,32,13
459,20108,10,12,15,17,23,32,05
460,20107,03,09,11,24,25,28,16
461,20106,02,04,11,15,18,28,10
462,20105,06,14,19,20,22,24,01
463,20104,04,08,10,16,27,29,09
464,20103,04,09,10,22,28,32,08
465,20102,09,10,19,25,26,29,08
466,20101,10,17,24,25,28,30,15
467,20100,01,07,15,16,20,23,07
468,20099,05,06,11,12,15,30,12
469,20098,06,08,11,22,25,33,02
470,20097,02,08,21,25,26,30,10
471,20096,01,20,23,26,27,32,15
472,20095,03,09,16,17,20,26,02
473,20094,10,15,17,27,29,31,08
474,20093,04,05,10,13,15,19,15
475,20092,01,06,12,18,22,24,03
476,20091,01,09,11,12,16,19,16
477,20090,02,21,23,26,31,32,06
478,20089,02,14,16,21,29,30,10
479,20088,01,06,12,26,29,30,12
480,20087,11,15,20,23,25,33,10
481,20086,02,04,06,15,24,27,06
482,20085,01,02,05,09,19,24,16
483,20084,03,07,16,17,23,30,07
484,20083,01,19,25,26,30,31,12
485,20082,02,08,11,17,21,30,09
486,20081,01,05,13,14,27,33,15
487,20080,14,15,18,22,31,33,01
488,20079,05,12,20,21,22,29,14
489,20078,03,11,14,16,21,32,04
490,20077,03,10,16,21,25,27,12
491,20076,10,15,16,18,20,27,06
492,20075,03,11,13,20,24,30,16
493,20074,04,08,09,13,19,33,12
494,20073,05,07,11,13,27,29,03
495,20072,06,08,10,15,17,26,04
496,20071,09,11,12,13,22,23,08
497,20070,01,02,04,06,19,21,15
498,20069,03,09,10,13,18,26,04
499,20068,12,16,21,26,27,32,10
500,20067,04,07,09,23,27,30,08
501,20066,02,09,13,17,26,28,07
502,20065,09,15,18,21,23,26,08
503,20064,01,03,07,21,27,32,01
504,20063,12,15,16,22,29,32,14
505,20062,10,14,17,22,26,27,05
506,20061,08,17,24,26,27,31,04
507,20060,05,09,14,20,24,30,08
508,20059,02,04,10,17,22,25,14
509,20058,01,03,11,12,19,26,07
510,20057,09,14,21,23,26,32,03
511,20056,02,05,08,12,26,31,14
512,20055,01,05,07,23,28,30,12
513,20054,03,10,19,25,26,31,02
514,20053,02,14,15,16,32,33,01
515,20052,02,08,13,29,32,33,15
516,20051,03,06,08,11,19,28,08
517,20050,04,09,17,20,32,33,15
518,20049,01,07,09,12,18,22,04
519,20048,12,14,18,23,30,32,02
520,20047,04,10,17,19,28,32,01
521,20046,13,19,25,26,27,32,08
522,20045,02,03,15,21,22,33,16
523,20044,07,08,16,17,19,24,07
524,20043,01,11,24,25,27,30,07
525,20042,02,06,07,11,14,31,03
526,20041,06,07,16,22,24,25,13
527,20040,01,06,12,16,19,21,04
528,20039,02,09,10,11,16,29,02
529,20038,01,06,07,18,23,24,15
530,20037,01,04,11,13,17,24,15
531,20036,07,09,16,22,24,32,06
